g++ -std=c++23 -O3 -Wall -Weffc++ -Wextra -Wconversion -Wsign-conversion -Werror -Wpedantic  -c -o solution.o solution.cpp
g++  point.o solution.o vector.o  -o solution
W   4	-4,0 1,0
N   1	-4,-1 1,0
F  35	31,-1 1,0
R  90	31,-1 0,1
F   2	31,1 0,1
N   3	31,-2 0,1
W   4	27,-2 0,1
S   1	27,-1 0,1
R  90	27,-1 1,0
F  89	116,-1 1,0
W   3	113,-1 1,0
N   3	113,-4 1,0
R  90	113,-4 0,1
W   5	108,-4 0,1
F  46	108,42 0,1
L  90	108,42 -1,0
W   5	103,42 -1,0
L  90	103,42 0,1
F  15	103,57 0,1
W   5	98,57 0,1
N   5	98,52 0,1
E   1	99,52 0,1
F  92	99,144 0,1
N   2	99,142 0,1
W   5	94,142 0,1
L 180	94,142 0,1
F  27	94,169 0,1
N   4	94,165 0,1
F  32	94,197 0,1
R  90	94,197 1,0
S   5	94,202 1,0
F  12	106,202 1,0
E   3	109,202 1,0
R  90	109,202 0,1
N   2	109,200 0,1
F  54	109,254 0,1
R 180	109,254 0,1
E   2	111,254 0,1
L  90	111,254 -1,0
E   1	112,254 -1,0
R 180	112,254 1,0
F  98	210,254 1,0
N   5	210,249 1,0
F  41	251,249 1,0
S   1	251,250 1,0
R 180	251,250 -1,0
N   5	251,245 -1,0
F  24	227,245 -1,0
W   5	222,245 -1,0
R  90	222,245 0,1
S   4	222,249 0,1
R 180	222,249 0,1
W   4	218,249 0,1
R  90	218,249 1,0
W   3	215,249 1,0
N   5	215,244 1,0
E   2	217,244 1,0
F  69	286,244 1,0
N   2	286,242 1,0
R 180	286,242 -1,0
F  48	238,242 -1,0
W   2	236,242 -1,0
N   4	236,238 -1,0
E   5	241,238 -1,0
S   1	241,239 -1,0
W   1	240,239 -1,0
F  39	201,239 -1,0
S   5	201,244 -1,0
L  90	201,244 0,1
E   4	205,244 0,1
R 180	205,244 0,1
E   4	209,244 0,1
L 180	209,244 0,1
E   1	210,244 0,1
R  90	210,244 1,0
F  97	307,244 1,0
S   2	307,246 1,0
L 270	307,246 0,1
N   5	307,241 0,1
E   2	309,241 0,1
R  90	309,241 1,0
S   1	309,242 1,0
R  90	309,242 0,1
E   4	313,242 0,1
N   4	313,238 0,1
F   2	313,240 0,1
N   3	313,237 0,1
L  90	313,237 -1,0
E   4	317,237 -1,0
F  84	233,237 -1,0
W   5	228,237 -1,0
N   2	228,235 -1,0
E   4	232,235 -1,0
S   2	232,237 -1,0
E   1	233,237 -1,0
S   5	233,242 -1,0
E   2	235,242 -1,0
N   4	235,238 -1,0
E   1	236,238 -1,0
F  94	142,238 -1,0
R 180	142,238 1,0
N   2	142,236 1,0
L  90	142,236 0,1
W   4	138,236 0,1
L 180	138,236 0,1
F  82	138,318 0,1
E   1	139,318 0,1
L 270	139,318 1,0
F  14	153,318 1,0
S   5	153,323 1,0
S   5	153,328 1,0
R  90	153,328 0,1
F  75	153,403 0,1
R  90	153,403 1,0
E   5	158,403 1,0
S   3	158,406 1,0
R  90	158,406 0,1
N   2	158,404 0,1
F  94	158,498 0,1
L 180	158,498 0,1
E   4	162,498 0,1
F   3	162,501 0,1
E   5	167,501 0,1
N   3	167,498 0,1
R  90	167,498 1,0
N   1	167,497 1,0
E   1	168,497 1,0
S   1	168,498 1,0
R  90	168,498 0,1
N   4	168,494 0,1
L  90	168,494 -1,0
E   3	171,494 -1,0
L 270	171,494 0,1
F  45	171,539 0,1
E   2	173,539 0,1
S   2	173,541 0,1
E   1	174,541 0,1
F  67	174,608 0,1
L  90	174,608 -1,0
F  15	159,608 -1,0
N   3	159,605 -1,0
W   4	155,605 -1,0
N   3	155,602 -1,0
R  90	155,602 0,1
F  51	155,653 0,1
N   3	155,650 0,1
S   2	155,652 0,1
R  90	155,652 1,0
N   1	155,651 1,0
L 180	155,651 -1,0
W   3	152,651 -1,0
L  90	152,651 0,1
W   5	147,651 0,1
F   8	147,659 0,1
N   3	147,656 0,1
F  36	147,692 0,1
N   2	147,690 0,1
L  90	147,690 -1,0
S   4	147,694 -1,0
F  91	56,694 -1,0
N   1	56,693 -1,0
E   4	60,693 -1,0
R  90	60,693 0,1
E   5	65,693 0,1
L  90	65,693 -1,0
E   2	67,693 -1,0
F  77	-10,693 -1,0
R  90	-10,693 0,1
